subject_id,src,x,y,planet,x_init,y_init
15144,img/planet1.png,204,370,1,261,205
15144,img/planet2.png,838,362,2,635,398
15144,img/planet3.png,452,408,3,338,139
15144,img/planet4.png,632,213,4,390,329
15144,img/planet5.png,551,6,5,551,6
15144,img/planet6.png,706,170,6,706,170
15144,img/planet7.png,463,100,7,46,31
15144,img/planet8.png,518,451,8,518,451
15144,img/planet9.png,692,244,9,692,410
15144,img/planet10.png,852,289,10,695,219
15144,img/planet11.png,206,445,11,324,49
15144,img/planet12.png,548,86,12,175,85
15144,img/planet13.png,124,401,13,417,330
15144,img/planet14.png,476,24,14,785,38
15144,img/planet15.png,519,386,15,27,128
