subject_id,src,x,y,planet,x_init,y_init
15032,img/planet1.png,85,396,1,1054,133
15032,img/planet2.png,464,478,2,106,491
15032,img/planet3.png,296,349,3,563,14
15032,img/planet4.png,97,58,4,141,197
15032,img/planet5.png,379,88,5,529,126
15032,img/planet6.png,236,480,6,618,154
15032,img/planet7.png,254,38,7,914,52
15032,img/planet8.png,652,268,8,308,369
15032,img/planet9.png,777,129,9,1022,357
15032,img/planet10.png,544,373,10,1018,335
15032,img/planet11.png,65,208,11,101,416
15032,img/planet12.png,444,230,12,808,130
15032,img/planet13.png,191,175,13,616,370
15032,img/planet14.png,938,48,14,119,499
15032,img/planet15.png,630,65,15,672,432
