subject_id,src,x,y,planet,x_init,y_init
15074,img/planet1.png,580,210,1,138,299
15074,img/planet2.png,363,156,2,392,125
15074,img/planet3.png,415,254,3,538,334
15074,img/planet4.png,555,119,4,566,42
15074,img/planet5.png,234,136,5,61,70
15074,img/planet6.png,560,304,6,478,409
15074,img/planet7.png,798,300,7,548,307
15074,img/planet8.png,471,193,8,558,219
15074,img/planet9.png,458,336,9,180,85
15074,img/planet10.png,736,222,10,807,50
15074,img/planet11.png,560,398,11,23,260
15074,img/planet12.png,294,203,12,31,312
15074,img/planet13.png,744,365,13,842,425
15074,img/planet14.png,697,293,14,533,310
15074,img/planet15.png,220,252,15,355,433
