subject_id,src,x,y,planet,x_init,y_init
14396,img/planet1.png,571,276,1,176,362
14396,img/planet2.png,775,218,2,435,124
14396,img/planet3.png,502,60,3,832,273
14396,img/planet4.png,732,160,4,199,365
14396,img/planet5.png,449,101,5,297,320
14396,img/planet6.png,559,112,6,729,363
14396,img/planet7.png,613,166,7,878,286
14396,img/planet8.png,571,4,8,394,215
14396,img/planet9.png,534,218,9,1006,100
14396,img/planet10.png,649,219,10,70,210
14396,img/planet11.png,611,339,11,566,132
14396,img/planet12.png,494,162,12,494,162
14396,img/planet13.png,674,105,13,527,315
14396,img/planet14.png,620,58,14,989,27
14396,img/planet15.png,695,289,15,701,312
