subject_id,src,x,y,planet,x_init,y_init
14243,img/planet1.png,634,267,1,583,196
14243,img/planet2.png,786,519,2,1133,450
14243,img/planet3.png,580,388,3,580,388
14243,img/planet4.png,595,66,4,1006,28
14243,img/planet5.png,804,221,5,827,540
14243,img/planet6.png,451,84,6,323,489
14243,img/planet7.png,176,165,7,117,124
14243,img/planet8.png,469,297,8,250,235
14243,img/planet9.png,268,78,9,887,56
14243,img/planet10.png,104,297,10,389,368
14243,img/planet11.png,417,421,11,586,436
14243,img/planet12.png,305,212,12,317,334
14243,img/planet13.png,277,339,13,230,405
14243,img/planet14.png,730,349,14,955,438
14243,img/planet15.png,710,87,15,52,576
