subject_id,src,x,y,planet,x_init,y_init
14156,img/planet1.png,544,334,1,750,398
14156,img/planet2.png,675,83,2,734,363
14156,img/planet3.png,681,162,3,738,137
14156,img/planet4.png,240,232,4,293,248
14156,img/planet5.png,374,224,5,889,285
14156,img/planet6.png,343,266,6,330,398
14156,img/planet7.png,632,327,7,148,192
14156,img/planet8.png,835,30,8,873,386
14156,img/planet9.png,603,383,9,494,81
14156,img/planet10.png,572,134,10,280,440
14156,img/planet11.png,464,319,11,714,105
14156,img/planet12.png,539,281,12,509,206
14156,img/planet13.png,389,345,13,624,366
14156,img/planet14.png,504,163,14,782,99
14156,img/planet15.png,765,31,15,112,433
