subject_id,src,x,y,planet,x_init,y_init
14415,img/planet1.png,493,27,1,9,128
14415,img/planet2.png,272,446,2,455,498
14415,img/planet3.png,828,486,3,383,396
14415,img/planet4.png,68,211,4,667,284
14415,img/planet5.png,202,404,5,829,365
14415,img/planet6.png,161,220,6,948,468
14415,img/planet7.png,390,456,7,235,75
14415,img/planet8.png,727,519,8,307,392
14415,img/planet9.png,23,352,9,1012,432
14415,img/planet10.png,330,359,10,949,6
14415,img/planet11.png,112,301,11,836,327
14415,img/planet12.png,323,532,12,878,168
14415,img/planet13.png,626,23,13,444,137
14415,img/planet14.png,174,493,14,710,263
14415,img/planet15.png,751,427,15,1010,247
