subject_id,src,x,y,planet,x_init,y_init
14264,img/planet1.png,164,321,1,559,328
14264,img/planet2.png,965,220,2,1001,318
14264,img/planet3.png,94,101,3,511,245
14264,img/planet4.png,889,147,4,657,344
14264,img/planet5.png,162,94,5,113,302
14264,img/planet6.png,897,223,6,208,200
14264,img/planet7.png,77,313,7,498,304
14264,img/planet8.png,91,171,8,592,26
14264,img/planet9.png,168,168,9,491,137
14264,img/planet10.png,963,158,10,189,208
14264,img/planet11.png,891,87,11,768,426
14264,img/planet12.png,958,304,12,979,422
14264,img/planet13.png,967,87,13,576,453
14264,img/planet14.png,167,241,14,1012,418
14264,img/planet15.png,80,241,15,648,94
