subject_id,src,x,y,planet
14084,img/planet1.png,331,247,1
14084,img/planet2.png,895,10,2
14084,img/planet3.png,583,270,3
14084,img/planet4.png,443,7,4
14084,img/planet5.png,228,54,5
14084,img/planet6.png,84,9,6
14084,img/planet7.png,429,123,7
14084,img/planet8.png,316,4,8
14084,img/planet9.png,327,315,9
14084,img/planet10.png,791,261,10
14084,img/planet11.png,122,200,11
14084,img/planet12.png,875,127,12
14084,img/planet13.png,223,308,13
14084,img/planet14.png,731,201,14
14084,img/planet15.png,452,347,15
