subject_id,src,x,y,planet,x_init,y_init
14263,img/planet1.png,1060,9,1,923,163
14263,img/planet2.png,35,43,2,442,378
14263,img/planet3.png,257,648,3,79,90
14263,img/planet4.png,746,211,4,1126,657
14263,img/planet5.png,764,28,5,870,620
14263,img/planet6.png,1038,339,6,740,201
14263,img/planet7.png,56,661,7,255,459
14263,img/planet8.png,438,645,8,97,370
14263,img/planet9.png,255,434,9,684,29
14263,img/planet10.png,491,425,10,1179,526
14263,img/planet11.png,622,550,11,1039,432
14263,img/planet12.png,406,18,12,913,89
14263,img/planet13.png,1085,644,13,304,211
14263,img/planet14.png,55,404,14,541,144
14263,img/planet15.png,459,206,15,911,165
