subject_id,src,x,y,planet,x_init,y_init
14463,img/planet1.png,310,611,1,1279,423
14463,img/planet2.png,1158,196,2,1197,46
14463,img/planet3.png,1212,325,3,745,354
14463,img/planet4.png,677,286,4,849,367
14463,img/planet5.png,943,442,5,534,586
14463,img/planet6.png,276,311,6,112,639
14463,img/planet7.png,777,350,7,261,342
14463,img/planet8.png,229,177,8,791,210
14463,img/planet9.png,630,411,9,911,635
14463,img/planet10.png,145,275,10,35,522
14463,img/planet11.png,419,247,11,1067,107
14463,img/planet12.png,1085,299,12,1071,23
14463,img/planet13.png,440,589,13,1310,290
14463,img/planet14.png,888,320,14,319,647
14463,img/planet15.png,800,458,15,1051,477
