subject_id,src,x,y,planet,x_init,y_init
14152,img/planet1.png,1004,108,1,34,270
14152,img/planet2.png,294,238,2,415,66
14152,img/planet3.png,867,186,3,1362,677
14152,img/planet4.png,600,317,4,670,480
14152,img/planet5.png,191,302,5,527,486
14152,img/planet6.png,542,463,6,914,254
14152,img/planet7.png,731,100,7,476,27
14152,img/planet8.png,731,237,8,911,501
14152,img/planet9.png,746,391,9,972,485
14152,img/planet10.png,327,539,10,1404,556
14152,img/planet11.png,344,370,11,513,166
14152,img/planet12.png,141,629,12,1270,586
14152,img/planet13.png,217,462,13,77,564
14152,img/planet14.png,879,55,14,29,306
14152,img/planet15.png,278,696,15,1373,262
