subject_id,src,x,y,planet,x_init,y_init
15160,img/planet1.png,365,90,1,768,105
15160,img/planet2.png,616,472,2,878,275
15160,img/planet3.png,561,364,3,64,140
15160,img/planet4.png,463,174,4,606,132
15160,img/planet5.png,517,268,5,320,497
15160,img/planet6.png,287,190,6,89,312
15160,img/planet7.png,100,129,7,704,476
15160,img/planet8.png,200,121,8,627,211
15160,img/planet9.png,389,253,9,261,155
15160,img/planet10.png,158,39,10,295,1
15160,img/planet11.png,617,293,11,863,296
15160,img/planet12.png,530,448,12,878,445
15160,img/planet13.png,269,54,13,26,49
15160,img/planet14.png,625,398,14,961,115
15160,img/planet15.png,446,349,15,49,381
