subject_id,src,x,y,planet,x_init,y_init
14652,img/planet1.png,225,207,1,47,226
14652,img/planet2.png,340,353,2,297,458
14652,img/planet3.png,454,135,3,454,135
14652,img/planet4.png,164,311,4,164,311
14652,img/planet5.png,280,129,5,280,129
14652,img/planet6.png,435,240,6,321,137
14652,img/planet7.png,515,193,7,693,253
14652,img/planet8.png,210,370,8,128,329
14652,img/planet9.png,371,259,9,296,360
14652,img/planet10.png,520,138,10,630,397
14652,img/planet11.png,424,318,11,867,5
14652,img/planet12.png,278,387,12,37,349
14652,img/planet13.png,174,169,13,66,106
14652,img/planet14.png,234,303,14,234,303
14652,img/planet15.png,323,163,15,733,489
