subject_id,src,x,y,planet,x_init,y_init
14977,img/planet1.png,411,394,1,878,205
14977,img/planet2.png,711,405,2,1648,394
14977,img/planet3.png,525,230,3,525,230
14977,img/planet4.png,1101,299,4,1426,252
14977,img/planet5.png,970,247,5,945,317
14977,img/planet6.png,1253,586,6,1253,586
14977,img/planet7.png,1366,461,7,8,305
14977,img/planet8.png,409,244,8,77,244
14977,img/planet9.png,1384,587,9,380,52
14977,img/planet10.png,1237,459,10,811,19
14977,img/planet11.png,1119,576,11,1101,65
14977,img/planet12.png,856,242,12,230,496
14977,img/planet13.png,730,227,13,942,38
14977,img/planet14.png,1097,432,14,374,328
14977,img/planet15.png,888,418,15,1694,56
