subject_id,src,x,y,planet,x_init,y_init
14517,img/planet1.png,63,412,1,129,222
14517,img/planet2.png,118,177,2,159,109
14517,img/planet3.png,880,83,3,880,83
14517,img/planet4.png,115,34,4,38,86
14517,img/planet5.png,754,116,5,870,146
14517,img/planet6.png,393,357,6,696,221
14517,img/planet7.png,37,278,7,28,208
14517,img/planet8.png,303,223,8,272,159
14517,img/planet9.png,172,369,9,4,95
14517,img/planet10.png,736,330,10,736,330
14517,img/planet11.png,609,225,11,531,426
14517,img/planet12.png,798,38,12,519,25
14517,img/planet13.png,416,73,13,219,54
14517,img/planet14.png,636,73,14,238,348
14517,img/planet15.png,260,71,15,151,27
