subject_id,src,x,y,planet,x_init,y_init
14966,img/planet1.png,317,148,1,857,210
14966,img/planet2.png,773,295,2,638,281
14966,img/planet3.png,687,65,3,266,17
14966,img/planet4.png,161,148,4,11,61
14966,img/planet5.png,806,383,5,734,291
14966,img/planet6.png,346,233,6,643,189
14966,img/planet7.png,299,318,7,734,343
14966,img/planet8.png,884,102,8,49,270
14966,img/planet9.png,406,329,9,945,158
14966,img/planet10.png,171,268,10,672,428
14966,img/planet11.png,787,75,11,200,98
14966,img/planet12.png,877,306,12,153,224
14966,img/planet13.png,227,51,13,641,188
14966,img/planet14.png,255,216,14,100,237
14966,img/planet15.png,700,361,15,568,311
