subject_id,src,x,y,planet
14414,img/planet1.png,848,305,1
14414,img/planet2.png,496,187,2
14414,img/planet3.png,272,18,3
14414,img/planet4.png,348,102,4
14414,img/planet5.png,854,63,5
14414,img/planet6.png,625,279,6
14414,img/planet7.png,312,247,7
14414,img/planet8.png,471,382,8
14414,img/planet9.png,871,207,9
14414,img/planet10.png,722,400,10
14414,img/planet11.png,244,117,11
14414,img/planet12.png,753,135,12
14414,img/planet13.png,745,251,13
14414,img/planet14.png,548,45,14
14414,img/planet15.png,717,41,15
