subject_id,src,x,y,planet,x_init,y_init
14402,img/planet1.png,751,128,1,1149,191
14402,img/planet2.png,225,536,2,187,576
14402,img/planet3.png,338,443,3,1338,378
14402,img/planet4.png,358,51,4,857,26
14402,img/planet5.png,936,588,5,1233,24
14402,img/planet6.png,207,169,6,313,83
14402,img/planet7.png,716,558,7,1031,62
14402,img/planet8.png,838,271,8,787,168
14402,img/planet9.png,533,560,9,471,633
14402,img/planet10.png,443,355,10,662,373
14402,img/planet11.png,175,331,11,919,4
14402,img/planet12.png,708,383,12,1054,548
14402,img/planet13.png,396,219,13,25,187
14402,img/planet14.png,886,438,14,987,340
14402,img/planet15.png,601,167,15,649,129
