subject_id,src,x,y,planet,x_init,y_init
14810,img/planet1.png,99,167,1,154,85
14810,img/planet2.png,963,461,2,718,483
14810,img/planet3.png,790,146,3,634,51
14810,img/planet4.png,379,230,4,286,183
14810,img/planet5.png,641,14,5,59,406
14810,img/planet6.png,557,351,6,557,351
14810,img/planet7.png,432,436,7,751,363
14810,img/planet8.png,238,43,8,377,249
14810,img/planet9.png,903,273,9,802,208
14810,img/planet10.png,349,356,10,696,514
14810,img/planet11.png,665,259,11,343,186
14810,img/planet12.png,511,186,12,511,186
14810,img/planet13.png,205,315,13,291,357
14810,img/planet14.png,663,131,14,775,449
14810,img/planet15.png,434,87,15,644,40
