subject_id,src,x,y,planet,x_init,y_init
14828,img/planet1.png,462,343,1,409,294
14828,img/planet2.png,56,447,2,56,447
14828,img/planet3.png,502,431,3,758,533
14828,img/planet4.png,962,374,4,26,13
14828,img/planet5.png,127,389,5,127,389
14828,img/planet6.png,873,369,6,873,369
14828,img/planet7.png,875,460,7,722,416
14828,img/planet8.png,502,30,8,526,30
14828,img/planet9.png,365,77,9,318,96
14828,img/planet10.png,546,361,10,151,452
14828,img/planet11.png,625,330,11,946,211
14828,img/planet12.png,64,329,12,37,42
14828,img/planet13.png,169,476,13,173,469
14828,img/planet14.png,931,278,14,931,278
14828,img/planet15.png,461,112,15,488,53
