subject_id,src,x,y,planet,x_init,y_init
14268,img/planet1.png,138,269,1,151,453
14268,img/planet2.png,495,165,2,488,157
14268,img/planet3.png,721,311,3,142,420
14268,img/planet4.png,782,130,4,622,5
14268,img/planet5.png,255,95,5,592,78
14268,img/planet6.png,539,314,6,852,461
14268,img/planet7.png,452,248,7,441,458
14268,img/planet8.png,798,238,8,710,81
14268,img/planet9.png,182,126,9,179,394
14268,img/planet10.png,344,29,10,176,218
14268,img/planet11.png,686,211,11,14,19
14268,img/planet12.png,197,33,12,282,74
14268,img/planet13.png,76,165,13,926,373
14268,img/planet14.png,335,161,14,218,171
14268,img/planet15.png,560,225,15,1033,135
