subject_id,src,x,y,planet,x_init,y_init
15364,img/planet1.png,1001,57,1,168,121
15364,img/planet2.png,236,33,2,79,434
15364,img/planet3.png,338,195,3,945,178
15364,img/planet4.png,777,382,4,777,451
15364,img/planet5.png,421,348,5,898,146
15364,img/planet6.png,949,416,6,918,505
15364,img/planet7.png,88,220,7,473,131
15364,img/planet8.png,79,478,8,232,303
15364,img/planet9.png,592,454,9,587,510
15364,img/planet10.png,131,335,10,131,335
15364,img/planet11.png,578,212,11,638,4
15364,img/planet12.png,78,44,12,174,175
15364,img/planet13.png,780,179,13,483,234
15364,img/planet14.png,512,45,14,1063,316
15364,img/planet15.png,1004,248,15,969,401
