subject_id,src,x,y,planet,x_init,y_init
14411,img/planet1.png,205,197,1,1000,59
14411,img/planet2.png,261,265,2,364,461
14411,img/planet3.png,894,412,3,238,0
14411,img/planet4.png,793,328,4,195,229
14411,img/planet5.png,254,111,5,358,132
14411,img/planet6.png,884,201,6,29,242
14411,img/planet7.png,101,209,7,350,267
14411,img/planet8.png,1009,371,8,1009,371
14411,img/planet9.png,898,53,9,797,44
14411,img/planet10.png,780,173,10,423,478
14411,img/planet11.png,1019,212,11,789,170
14411,img/planet12.png,140,85,12,108,308
14411,img/planet13.png,969,301,13,1083,363
14411,img/planet14.png,125,324,14,780,39
14411,img/planet15.png,202,390,15,624,95
