subject_id,src,x,y,planet,x_init,y_init
15138,img/planet1.png,780,482,1,1175,358
15138,img/planet2.png,806,215,2,308,575
15138,img/planet3.png,562,332,3,328,637
15138,img/planet4.png,188,25,4,259,73
15138,img/planet5.png,501,254,5,501,254
15138,img/planet6.png,503,544,6,980,341
15138,img/planet7.png,633,435,7,224,519
15138,img/planet8.png,545,146,8,789,456
15138,img/planet9.png,822,352,9,1070,488
15138,img/planet10.png,384,488,10,360,552
15138,img/planet11.png,833,0,11,1224,31
15138,img/planet12.png,1296,479,12,1232,520
15138,img/planet13.png,695,341,13,802,614
15138,img/planet14.png,338,253,14,221,268
15138,img/planet15.png,658,208,15,300,237
