subject_id,src,x,y,planet,x_init,y_init
14821,img/planet1.png,331,69,1,263,162
14821,img/planet2.png,294,143,2,710,202
14821,img/planet3.png,243,352,3,243,352
14821,img/planet4.png,624,105,4,49,11
14821,img/planet5.png,254,62,5,226,19
14821,img/planet6.png,557,65,6,617,91
14821,img/planet7.png,380,121,7,369,148
14821,img/planet8.png,321,388,8,535,85
14821,img/planet9.png,610,231,9,796,299
14821,img/planet10.png,178,217,10,886,152
14821,img/planet11.png,536,353,11,487,356
14821,img/planet12.png,560,204,12,705,315
14821,img/planet13.png,499,290,13,499,290
14821,img/planet14.png,107,250,14,722,392
14821,img/planet15.png,318,307,15,318,307
